id,source,type_of_material,web_url,snippet,headline,created_time,news_desk
1067,The New York Times,Review,https://www.nytimes.com/2022/01/28/books/review/shackelton-ranulph-fiennes.html,"The adventurer Ranulph Fiennes has written a biography of Ernest Shackleton, telling the life story of the famed explorer while also describing his own exploits.",One Good Antarctic Explorer Deserves Another,1/28/2022 18:06,Financial 
1068,The New York Times,News,https://www.nytimes.com/2022/01/28/dining/restaurant-phone-line-call.html,"When restaurants abandon their phone lines, it can make the lives of employees easier but leave diners confused and frustrated — or relieved.","Restaurants to Customers: Don’t Call Us, We Won’t Call You",1/28/2022 18:07,Business
1069,The New York Times,News,https://www.nytimes.com/2022/01/28/arts/television/bill-cosby-kamau-bell.html,"The comic and commentator discusses his new documentary, “We Need to Talk About Cosby,” and what Cosby’s story reveals about the “two runaway forces of oppression in America.”",Kamau Bell: Bill Cosby Is Key to Understanding America,1/28/2022 19:34,Business
1070,The New York Times,Op-Ed,https://www.nytimes.com/2022/01/28/opinion/peer-review-research-studies.html,What’s the best way to release timely research without letting bad information get out?,How to Disseminate Science Quickly,1/28/2022 21:01,Business
1071,The New York Times,News,https://www.nytimes.com/2022/01/28/dining/churros-hot-chocolate.html,The combination has roots in Spain — but here the union has a distinct Floridian flair.,"When It’s Winter in Miami, It’s Time for Churros and Hot Chocolate",1/28/2022 21:27,Business
1072,The New York Times,News,https://www.nytimes.com/2022/01/28/us/kyle-rittenhouse-ar15-gun.html,Mr. Rittenhouse was acquitted of all charges in the fatal shootings of two men and wounding of another during a protest in 2020 that was precipitated by the shooting of a Black man by a police officer.,Rifle Used by Kyle Rittenhouse in Kenosha Shootings Will Be Destroyed,1/28/2022 21:39,Business
1073,The New York Times,Interactive Feature,https://www.nytimes.com/interactive/2022/01/28/magazine/miami-condo-collapse.html,"Last summer’s collapse in Surfside, Fla., exposed a startling truth: There are thousands of aging condo buildings that could be next — and few steps being taken to prevent another tragedy.",The Ticking Clock for Miami's Condo Empire,1/28/2022 21:42,Financial 
1074,The New York Times,Interactive Feature,https://www.nytimes.com/interactive/2022/01/28/magazine/miami-condo-collapse.html,"Last summer’s collapse in Surfside, Fla., exposed a startling truth: There are thousands of aging condo buildings that could be next — and few steps being taken to prevent another tragedy.",The Ticking Clock for Miami's Condo Empire,1/28/2022 21:42,Business
1075,The New York Times,News,https://www.nytimes.com/2022/01/28/world/europe/biden-ukraine-russia-diplomacy.html,"While Ukraine’s president complained about “acute and burning” warnings from Washington, the Pentagon issued a dire new appraisal asserting Russia has amassed enough troops to invade his entire country.",White House Warnings Over Russia Strain Ukraine-U.S. Partnership,1/28/2022 22:17,Financial 
1076,The New York Times,News,https://www.nytimes.com/2022/01/28/nyregion/michael-avenatti-stormy-daniels.html,"In what may be the last chapter in their unlikely story, Mr. Avenatti cross-examined Ms. Daniels for several hours during his trial on Friday.","Michael Avenatti, Stormy Daniels and a Courtroom Time Capsule From 2018",1/28/2022 23:05,Financial 
1077,The New York Times,News,https://www.nytimes.com/2022/01/28/us/politics/egypt-us-human-rights.html,The Middle Eastern ally continues to buy billions of dollars worth of military equipment from the United States.,U.S. Blocks $130 Million in Aid for Egypt Over Rights Abuses,1/28/2022 23:46,Financial 
1078,The New York Times,News,https://www.nytimes.com/2022/01/28/us/politics/egypt-us-human-rights.html,The Middle Eastern ally continues to buy billions of dollars worth of military equipment from the United States.,U.S. Blocks $130 Million in Aid for Egypt Over Rights Abuses,1/28/2022 23:46,Business
1079,The New York Times,News,https://www.nytimes.com/2022/01/29/world/europe/russia-troops-belarus-border-ukraine.html,"From the border, it’s a fast 140 miles down a newly paved highway to Kyiv, the Ukrainian capital, but only a few troops stand guard.","As Russian Troops Mass in Belarus, a Ukraine Border Is Largely Undefended",1/29/2022 8:00,Business
1080,The New York Times,News,https://www.nytimes.com/2022/01/29/style/group-chat-text-pandemic.html,Group texts became a social lifeline early in the pandemic. But all conversations must eventually come to an end.,Everyone Has Left the Chat,1/29/2022 10:00,Business
1081,The New York Times,News,https://www.nytimes.com/2022/01/29/style/sundance-canceled-park-city.html,The film festival went virtual again this year. But that didn’t stop some veteran attendees from having a good time in Park City anyway.,In-Person Sundance Canceled? Don’t Tell These Partygoers.,1/29/2022 10:00,Business
1082,The New York Times,News,https://www.nytimes.com/2022/01/29/us/north-carolina-voting-gerrymandering.html,A fight over who is fit to hear a redistricting case highlights what experts say is the growing influence of ideology and money over state supreme courts nationwide.,"In North Carolina, a Pitched Battle Over Gerrymanders and Justices",1/29/2022 10:00,Financial 
1083,The New York Times,News,https://www.nytimes.com/2022/01/29/us/north-carolina-voting-gerrymandering.html,A fight over who is fit to hear a redistricting case highlights what experts say is the growing influence of ideology and money over state supreme courts nationwide.,"In North Carolina, a Pitched Battle Over Gerrymanders and Justices",1/29/2022 10:00,Business
1084,The New York Times,News,https://www.nytimes.com/2022/01/29/books/gish-jen-thank-you-mr-nixon.html,"The author of nine books was born in America to Chinese immigrants, and she felt the country’s pull as she put together her new story collection, “Thank You, Mr. Nixon.”",How Covid Got Gish Jen Thinking About China,1/29/2022 10:00,Business
1085,The New York Times,News,https://www.nytimes.com/2022/01/29/business/gamestop-stock.html,One year in the trenches of the meme stock revolution.,"Buy GameStop, Fight Injustice. Just Don’t Sell.",1/29/2022 10:00,Financial 
1086,The New York Times,News,https://www.nytimes.com/2022/01/29/business/gamestop-stock.html,One year in the trenches of the meme stock revolution.,"Buy GameStop, Fight Injustice. Just Don’t Sell.",1/29/2022 10:00,Business
1087,The New York Times,News,https://www.nytimes.com/2022/01/29/business/england-covid-rules.html,What England’s push to get back to business as usual says about the national character.,"Britannia, With Fewer Rules",1/29/2022 10:00,Business
1088,The New York Times,News,https://www.nytimes.com/2022/01/29/nyregion/native-american-mascot-cambridge.html,Residents in a divided predominantly white town in upstate New York are fighting a state ruling to remove the Native American mascot.,"Facing a Ban, a School District Fights to Keep ‘Indian’ Nickname",1/29/2022 10:00,Business
