priceUsd,time,circulatingSupply,date
34380.6063826741134498,1643043600000,18938712.0000000000000000,2022-01-24T17:00:00.000Z
35407.8682530306515205,1643047200000,18938775.0000000000000000,2022-01-24T18:00:00.000Z
36244.2736403666900504,1643050800000,18938775.0000000000000000,2022-01-24T19:00:00.000Z
36129.3040353827768487,1643054400000,18938775.0000000000000000,2022-01-24T20:00:00.000Z
37114.5072485948640992,1643058000000,18938862.0000000000000000,2022-01-24T21:00:00.000Z
36885.3679706215412207,1643061600000,18938862.0000000000000000,2022-01-24T22:00:00.000Z
36467.5820183415964800,1643065200000,18938906.0000000000000000,2022-01-24T23:00:00.000Z
36730.0664659178060893,1643068800000,18938906.0000000000000000,2022-01-25T00:00:00.000Z
36152.2313499276888486,1643072400000,18939006.0000000000000000,2022-01-25T01:00:00.000Z
36206.9073067590221901,1643076000000,18939006.0000000000000000,2022-01-25T02:00:00.000Z
36409.8122889716014295,1643079600000,18939081.0000000000000000,2022-01-25T03:00:00.000Z
36495.4581739321955779,1643083200000,18939081.0000000000000000,2022-01-25T04:00:00.000Z
36058.2847055580539042,1643086800000,18939162.0000000000000000,2022-01-25T05:00:00.000Z
36132.4091212573993294,1643090400000,18939162.0000000000000000,2022-01-25T06:00:00.000Z
35965.9725281379421657,1643094000000,18939225.0000000000000000,2022-01-25T07:00:00.000Z
36132.8257655327754123,1643097600000,18939225.0000000000000000,2022-01-25T08:00:00.000Z
36204.3830019948900751,1643101200000,18939431.0000000000000000,2022-01-25T09:00:00.000Z
36520.8664635252390844,1643104800000,18939431.0000000000000000,2022-01-25T10:00:00.000Z
36522.2740231427755468,1643108400000,18939500.0000000000000000,2022-01-25T11:00:00.000Z
36505.4556383100028942,1643112000000,18939500.0000000000000000,2022-01-25T12:00:00.000Z
36613.6378901095830742,1643115600000,18939556.0000000000000000,2022-01-25T13:00:00.000Z
36553.8562678913436171,1643119200000,18939556.0000000000000000,2022-01-25T14:00:00.000Z
36482.0034992761044209,1643122800000,18939600.0000000000000000,2022-01-25T15:00:00.000Z
36636.3042590205901316,1643126400000,18939600.0000000000000000,2022-01-25T16:00:00.000Z
36943.7229540417404264,1643130000000,18939681.0000000000000000,2022-01-25T17:00:00.000Z
37289.9971235998960416,1643133600000,18939681.0000000000000000,2022-01-25T18:00:00.000Z
37434.2609615678394347,1643137200000,18939768.0000000000000000,2022-01-25T19:00:00.000Z
37232.4737862620376871,1643140800000,18939768.0000000000000000,2022-01-25T20:00:00.000Z
36972.0773117665325771,1643144400000,18939825.0000000000000000,2022-01-25T21:00:00.000Z
36677.7031603671810134,1643148000000,18939825.0000000000000000,2022-01-25T22:00:00.000Z
36832.2948924320390301,1643151600000,18939962.0000000000000000,2022-01-25T23:00:00.000Z
37041.6983325257373961,1643155200000,18939962.0000000000000000,2022-01-26T00:00:00.000Z
36745.1942279195652186,1643158800000,18940031.0000000000000000,2022-01-26T01:00:00.000Z
36967.2515790493312769,1643162400000,18940031.0000000000000000,2022-01-26T02:00:00.000Z
36947.2983709278532828,1643166000000,18940087.0000000000000000,2022-01-26T03:00:00.000Z
37516.9857000467861119,1643169600000,18940087.0000000000000000,2022-01-26T04:00:00.000Z
37883.5951037308977121,1643173200000,18940187.0000000000000000,2022-01-26T05:00:00.000Z
37748.7544525081795562,1643176800000,18940187.0000000000000000,2022-01-26T06:00:00.000Z
37397.0189863129054490,1643180400000,18940237.0000000000000000,2022-01-26T07:00:00.000Z
37433.9930174796138212,1643184000000,18940237.0000000000000000,2022-01-26T08:00:00.000Z
37714.1850444044497416,1643187600000,18940293.0000000000000000,2022-01-26T09:00:00.000Z
37825.7519489593040960,1643191200000,18940293.0000000000000000,2022-01-26T10:00:00.000Z
38076.9661855986746997,1643194800000,18940362.0000000000000000,2022-01-26T11:00:00.000Z
38152.5944302341644391,1643198400000,18940362.0000000000000000,2022-01-26T12:00:00.000Z
37880.3000734183171781,1643202000000,18940462.0000000000000000,2022-01-26T13:00:00.000Z
38235.2600820402343179,1643205600000,18940462.0000000000000000,2022-01-26T14:00:00.000Z
38326.8562677184162646,1643209200000,18940487.0000000000000000,2022-01-26T15:00:00.000Z
38090.8752922619178369,1643212800000,18940487.0000000000000000,2022-01-26T16:00:00.000Z
38341.5457714886109721,1643216400000,18940550.0000000000000000,2022-01-26T17:00:00.000Z
38152.2835813017020861,1643220000000,18940550.0000000000000000,2022-01-26T18:00:00.000Z
38033.8452545738960387,1643223600000,18940625.0000000000000000,2022-01-26T19:00:00.000Z
37757.2131363020479536,1643227200000,18940625.0000000000000000,2022-01-26T20:00:00.000Z
37151.2325833643673707,1643230800000,18940675.0000000000000000,2022-01-26T21:00:00.000Z
36485.2214513813115576,1643234400000,18940675.0000000000000000,2022-01-26T22:00:00.000Z
36591.6634810086880984,1643238000000,18940737.0000000000000000,2022-01-26T23:00:00.000Z
36901.8859139959036041,1643241600000,18940737.0000000000000000,2022-01-27T00:00:00.000Z
37115.7748016979375009,1643245200000,18940843.0000000000000000,2022-01-27T01:00:00.000Z
36068.8146913803205696,1643248800000,18940843.0000000000000000,2022-01-27T02:00:00.000Z
36077.6493509792837329,1643252400000,18940925.0000000000000000,2022-01-27T03:00:00.000Z
35829.7867728346322014,1643256000000,18940925.0000000000000000,2022-01-27T04:00:00.000Z
36054.1221462266701428,1643259600000,18940975.0000000000000000,2022-01-27T05:00:00.000Z
36082.9772592426324976,1643263200000,18940975.0000000000000000,2022-01-27T06:00:00.000Z
36240.7431713478890199,1643266800000,18941050.0000000000000000,2022-01-27T07:00:00.000Z
36285.5016164639982418,1643270400000,18941050.0000000000000000,2022-01-27T08:00:00.000Z
36529.3931690961865970,1643274000000,18941125.0000000000000000,2022-01-27T09:00:00.000Z
36635.2200136819221018,1643277600000,18941125.0000000000000000,2022-01-27T10:00:00.000Z
36443.6952589952525293,1643281200000,18941162.0000000000000000,2022-01-27T11:00:00.000Z
36778.8155849817386046,1643284800000,18941162.0000000000000000,2022-01-27T12:00:00.000Z
36769.4068331567544436,1643288400000,18941212.0000000000000000,2022-01-27T13:00:00.000Z
36893.4758920268088886,1643292000000,18941212.0000000000000000,2022-01-27T14:00:00.000Z
36933.2527596326928853,1643295600000,18941212.0000000000000000,2022-01-27T15:00:00.000Z
36723.7580249736778643,1643299200000,18941268.0000000000000000,2022-01-27T16:00:00.000Z
36607.7161468396367593,1643302800000,18941268.0000000000000000,2022-01-27T17:00:00.000Z
36392.8433500151676130,1643306400000,18941368.0000000000000000,2022-01-27T18:00:00.000Z
36273.0170534177430782,1643310000000,18941368.0000000000000000,2022-01-27T19:00:00.000Z
36288.0201243782961461,1643313600000,18941437.0000000000000000,2022-01-27T20:00:00.000Z
35756.1287796807609595,1643317200000,18941437.0000000000000000,2022-01-27T21:00:00.000Z
36265.4398075467856638,1643320800000,18941537.0000000000000000,2022-01-27T22:00:00.000Z
36816.9776114288062153,1643324400000,18941537.0000000000000000,2022-01-27T23:00:00.000Z
37217.6842740426976266,1643328000000,18941581.0000000000000000,2022-01-28T00:00:00.000Z
37294.6280176664861802,1643331600000,18941581.0000000000000000,2022-01-28T01:00:00.000Z
37033.7931607534725826,1643335200000,18941662.0000000000000000,2022-01-28T02:00:00.000Z
37074.4567880929125660,1643338800000,18941768.0000000000000000,2022-01-28T03:00:00.000Z
37470.3184791758720247,1643342400000,18941768.0000000000000000,2022-01-28T04:00:00.000Z
37335.2734610345956904,1643346000000,18941843.0000000000000000,2022-01-28T05:00:00.000Z
37347.7527937365986150,1643349600000,18941843.0000000000000000,2022-01-28T06:00:00.000Z
37121.6768694899425158,1643353200000,18941925.0000000000000000,2022-01-28T07:00:00.000Z
36997.9321192754572289,1643356800000,18941925.0000000000000000,2022-01-28T08:00:00.000Z
36772.3912854049962538,1643360400000,18942012.0000000000000000,2022-01-28T09:00:00.000Z
36678.0816868614516223,1643364000000,18942012.0000000000000000,2022-01-28T10:00:00.000Z
36752.2645494245090488,1643367600000,18942081.0000000000000000,2022-01-28T11:00:00.000Z
36655.4342772453407053,1643371200000,18942081.0000000000000000,2022-01-28T12:00:00.000Z
36478.8120201921937576,1643374800000,18942175.0000000000000000,2022-01-28T13:00:00.000Z
37022.3786015852072648,1643378400000,18942175.0000000000000000,2022-01-28T14:00:00.000Z
36935.7421319618567115,1643382000000,18942262.0000000000000000,2022-01-28T15:00:00.000Z
37347.3797216687268974,1643385600000,18942262.0000000000000000,2022-01-28T16:00:00.000Z
37288.6530338747011197,1643389200000,18942312.0000000000000000,2022-01-28T17:00:00.000Z
37017.1704612100797241,1643392800000,18942312.0000000000000000,2022-01-28T18:00:00.000Z
37214.4596749461451091,1643396400000,18942418.0000000000000000,2022-01-28T19:00:00.000Z
37364.5701250974320777,1643400000000,18942418.0000000000000000,2022-01-28T20:00:00.000Z
37933.8595937325712624,1643403600000,18942418.0000000000000000,2022-01-28T21:00:00.000Z
37996.2064167095737228,1643407200000,18942475.0000000000000000,2022-01-28T22:00:00.000Z
37859.9740455746392152,1643410800000,18942475.0000000000000000,2022-01-28T23:00:00.000Z
37903.6063352051208368,1643414400000,18942550.0000000000000000,2022-01-29T00:00:00.000Z
37928.1023496566071784,1643418000000,18942550.0000000000000000,2022-01-29T01:00:00.000Z
37700.3206322747363401,1643421600000,18942625.0000000000000000,2022-01-29T02:00:00.000Z
37680.1700419583672055,1643425200000,18942625.0000000000000000,2022-01-29T03:00:00.000Z
37870.1739341976818067,1643428800000,18942712.0000000000000000,2022-01-29T04:00:00.000Z
37971.6517999112288909,1643432400000,18942712.0000000000000000,2022-01-29T05:00:00.000Z
37801.8464110858289654,1643436000000,18942800.0000000000000000,2022-01-29T06:00:00.000Z
37881.2523875412676162,1643439600000,18942800.0000000000000000,2022-01-29T07:00:00.000Z
37976.4816232806626181,1643443200000,18942868.0000000000000000,2022-01-29T08:00:00.000Z
37936.8291390647251836,1643446800000,18942868.0000000000000000,2022-01-29T09:00:00.000Z
37845.0298780496967500,1643450400000,18942912.0000000000000000,2022-01-29T10:00:00.000Z
37894.7248438832904240,1643454000000,18942912.0000000000000000,2022-01-29T11:00:00.000Z
37875.7162006040327818,1643457600000,18942962.0000000000000000,2022-01-29T12:00:00.000Z
37949.4822970754381862,1643461200000,18942962.0000000000000000,2022-01-29T13:00:00.000Z
38238.9866935747830585,1643464800000,18943037.0000000000000000,2022-01-29T14:00:00.000Z
37863.2625805839614160,1643468400000,18943037.0000000000000000,2022-01-29T15:00:00.000Z
37691.9245895329333162,1643472000000,18943125.0000000000000000,2022-01-29T16:00:00.000Z
37639.0188421017806054,1643475600000,18943125.0000000000000000,2022-01-29T17:00:00.000Z
37754.9758417013458633,1643479200000,18943181.0000000000000000,2022-01-29T18:00:00.000Z
37923.2334879483457545,1643482800000,18943250.0000000000000000,2022-01-29T19:00:00.000Z
37970.7418492650047636,1643486400000,18943250.0000000000000000,2022-01-29T20:00:00.000Z
38423.7162363221352800,1643490000000,18943381.0000000000000000,2022-01-29T21:00:00.000Z
38481.0383600438803820,1643493600000,18943381.0000000000000000,2022-01-29T22:00:00.000Z
38212.2470320806463915,1643497200000,18943462.0000000000000000,2022-01-29T23:00:00.000Z
38240.3213497487319592,1643500800000,18943462.0000000000000000,2022-01-30T00:00:00.000Z
37933.2988252165994511,1643504400000,18943556.0000000000000000,2022-01-30T01:00:00.000Z
38022.9445012378831375,1643508000000,18943556.0000000000000000,2022-01-30T02:00:00.000Z
38056.5234135822050854,1643511600000,18943662.0000000000000000,2022-01-30T03:00:00.000Z
38024.2517388360514540,1643515200000,18943662.0000000000000000,2022-01-30T04:00:00.000Z
38186.2912568932273157,1643518800000,18943750.0000000000000000,2022-01-30T05:00:00.000Z
38222.1613421007054146,1643522400000,18943750.0000000000000000,2022-01-30T06:00:00.000Z
38205.4644995387485366,1643526000000,18943800.0000000000000000,2022-01-30T07:00:00.000Z
38297.1498360092154098,1643529600000,18943800.0000000000000000,2022-01-30T08:00:00.000Z
38074.4200172162148678,1643533200000,18943868.0000000000000000,2022-01-30T09:00:00.000Z
38001.1520642242367621,1643536800000,18943868.0000000000000000,2022-01-30T10:00:00.000Z
38226.8790019227434282,1643540400000,18943950.0000000000000000,2022-01-30T11:00:00.000Z
38148.9303479505720538,1643544000000,18943950.0000000000000000,2022-01-30T12:00:00.000Z
38024.9518690397112624,1643547600000,18944037.0000000000000000,2022-01-30T13:00:00.000Z
38054.0893504792667620,1643551200000,18944037.0000000000000000,2022-01-30T14:00:00.000Z
37937.9256251132365168,1643554800000,18944118.0000000000000000,2022-01-30T15:00:00.000Z
38074.2894324579554906,1643558400000,18944118.0000000000000000,2022-01-30T16:00:00.000Z
37922.4643346244620665,1643562000000,18944225.0000000000000000,2022-01-30T17:00:00.000Z
38091.0384862113057743,1643565600000,18944225.0000000000000000,2022-01-30T18:00:00.000Z
37931.0199579804464964,1643569200000,18944225.0000000000000000,2022-01-30T19:00:00.000Z
37611.5073487138689829,1643572800000,18944293.0000000000000000,2022-01-30T20:00:00.000Z
37802.0998648128420937,1643576400000,18944293.0000000000000000,2022-01-30T21:00:00.000Z
37811.5440914401116919,1643580000000,18944325.0000000000000000,2022-01-30T22:00:00.000Z
37877.4184986334074377,1643583600000,18944325.0000000000000000,2022-01-30T23:00:00.000Z
37992.8034353843636604,1643587200000,18944393.0000000000000000,2022-01-31T00:00:00.000Z
37061.3994697694118112,1643590800000,18944393.0000000000000000,2022-01-31T01:00:00.000Z
36928.0916936003816569,1643594400000,18944468.0000000000000000,2022-01-31T02:00:00.000Z
37093.2155353438839219,1643598000000,18944468.0000000000000000,2022-01-31T03:00:00.000Z
37116.6197639576789133,1643601600000,18944556.0000000000000000,2022-01-31T04:00:00.000Z
37015.0397932093074764,1643605200000,18944556.0000000000000000,2022-01-31T05:00:00.000Z
37118.7711168448758095,1643608800000,18944556.0000000000000000,2022-01-31T06:00:00.000Z
37064.5600653683583864,1643612400000,18944612.0000000000000000,2022-01-31T07:00:00.000Z
37191.5656991875513959,1643616000000,18944612.0000000000000000,2022-01-31T08:00:00.000Z
